1991.04,98.0428,
1991.05,98.419,
1991.06,98.76247,
1991.07,99.02515,
1991.08,99.16775,
1991.09,99.19705,
1991.10,99.14642,
1991.11,99.07139,
1991.12,99.03707,
1992.01,99.08883,
1992.02,99.21794,
1992.03,99.39179,
1992.04,99.54929,
1992.05,99.64876,
1992.06,99.67843,
1992.07,99.66748,
1992.08,99.65835,
1992.09,99.6959,
1992.10,99.80562,
1992.11,99.96539,
1992.12,100.1134,
1993.01,100.1952,
1993.02,100.1936,
1993.03,100.1086,
1993.04,99.96105,
1993.05,99.78378,
1993.06,99.63168,
1993.07,99.54389,
1993.08,99.54793,
1993.09,99.64985,
1993.10,99.83882,
1993.11,100.0823,
1993.12,100.3534,
1994.01,100.6081,
1994.02,100.8157,
1994.03,100.9683,
1994.04,101.0633,
1994.05,101.1043,
1994.06,101.0982,
1994.07,101.06,
1994.08,101.0053,
1994.09,100.9349,
1994.10,100.8411,
1994.11,100.7001,
1994.12,100.5006,
1995.01,100.2372,
1995.02,99.91225,
1995.03,99.55773,
1995.04,99.22806,
1995.05,98.96748,
1995.06,98.79372,
1995.07,98.69322,
1995.08,98.63057,
1995.09,98.57651,
1995.10,98.53133,
1995.11,98.51016,
1995.12,98.52818,
1996.01,98.59745,
1996.02,98.7254,
1996.03,98.89947,
1996.04,99.08337,
1996.05,99.25504,
1996.06,99.39422,
1996.07,99.49146,
1996.08,99.5683,
1996.09,99.6411,
1996.10,99.71525,
1996.11,99.79949,
1996.12,99.89016,
1997.01,99.99634,
1997.02,100.1262,
1997.03,100.2659,
1997.04,100.4105,
1997.05,100.555,
1997.06,100.6935,
1997.07,100.8147,
1997.08,100.9017,
1997.09,100.9597,
1997.10,100.9901,
1997.11,100.9872,
1997.12,100.9503,
1998.01,100.8972,
1998.02,100.8282,
1998.03,100.7247,
1998.04,100.5835,
1998.05,100.4059,
1998.06,100.2037,
1998.07,100.0084,
1998.08,99.84473,
1998.09,99.74604,
1998.10,99.74778,
1998.11,99.8532,
1998.12,100.0248,
1999.01,100.2365,
1999.02,100.4522,
